rating,num_reviews,name,tags,url,ingredients,directions
,,Rancho Santucci recipe,,http://www.drinksmixer.com/drink14xy891.html,"[(u'1/2', u'Everclear\xae alcohol', 'oz'), (u'1/2', u'triple sec', 'oz'), (u'1/2', u'DeKuyper\xae Peachtree schnapps', 'oz'), (u'1', u'club soda', 'cup'), (None, u'2 drops grenadine syrup', None), (u'3', u'pineapple juice', 'oz')]","Mix 1/2 shot each of Everclear, triple sec, and Peachtree schnapps with 3 shots of pineapple juice in a shaker with ice. Pour into glass and stir in club soda to taste. Garnish with a few drops of grenadine. "
5.5,2,Ramshanked recipe,,http://www.drinksmixer.com/drink7912.html,"[(None, u'1 bottle Bacardi Breezer\xae', None), (u'2', u'Malibu\xae coconut rum', 'oz'), (u'2', u'Southern Comfort\xae peach liqueur', 'oz'), (None, u'1 slice lemon', None)]","Place the lemon slice at the bottom of a highball glass. Add ice, and pour the rum and southern comfort. Finally, add the bottle of Bacardi. Stir and serve."
9.4,41,Raspberry Punch recipe,,http://www.drinksmixer.com/drink6299.html,"[(None, u'46 ozpink grapefruit juice', None), (u'12', u'raspberry juice', 'oz'), (u'1', u'raspberry sherbet', 'qt'), (None, u'2 liters ginger ale', None)]",Pour pink grapefruit juice and ginger ale into a punch bowl. Add raspberry juice or 12 oz frozen raspberries (stir to un-thaw). Add sherbet and stir until melted.
,,Raspberry Pancake recipe,,http://www.drinksmixer.com/drink1t4s904.html,"[(u'1 1/2', u'Chambord\xae raspberry liqueur', 'oz'), (u'1 1/2', u'Amaretto Di Saronno\xae liqueur', 'oz'), (u'6', u'hard cider', 'oz')]",First pour hard apple cider into a highball glass. Then add the amaretto and raspberry liqueur at the same time. Give the whole drink a good swirl and garnish with a raspberry and an apple slice. 
,,Raspberry Muscle Relaxant recipe,,http://www.drinksmixer.com/drinks1r4903.html,"[(u'1', u'raspberry vodka', 'oz'), (u'1', u'Hpnotiq\xae liqueur', 'oz'), (u'2', u'7-Up\xae soda', 'oz'), (u'2', u'cranberry-raspberry juice', 'oz')]",Build over ice. Stir and serve. 
9.2,150,Raspberry Martini recipe,,http://www.drinksmixer.com/drink7914.html,"[(u'2', u'raspberry vodka', 'oz'), (u'1/2', u'DeKuyper\xae Razzmatazz liqueur', 'oz'), (u'1', u'Sprite\xae soda', 'oz')]","Pour all ingredients into a cocktail shaker. Shake well, strain into a cocktail/martini glass, and serve."
,,Raspberry Mango Daiquri recipe,,http://www.drinksmixer.com/drinkz167y55.html,"[(None, u'2  tequila', None), (None, u'1 shot triple sec', None), (u'1', u'Sprite\xae soda', 'splash'), (None, u'  mango syrup', None), (None, u'  raspberry syrup', None)]",Blend all this together and it is delicious
9.9,19,Raspberry Kiss recipe,,http://www.drinksmixer.com/drink675.html,"[(u'1', u'cream', 'oz'), (u'1', u'brown creme de cacao', 'oz'), (u'1', u'Chambord\xae raspberry liqueur', 'oz')]","Pour ingredients into a stainless steel shaker over ice,shake until completely cold then strain into a chilled stemmed glass or Rocks glass filled with ice."
9.5,141,Raspberry Long Island Ice Tea recipe,,http://www.drinksmixer.com/drink6298.html,"[(u'1', u'vodka', 'oz'), (u'1', u'rum', 'oz'), (u'1', u'tequila', 'oz'), (u'1', u'gin', 'oz'), (u'1', u'triple sec', 'oz'), (u'1 1/2', u'sweet and sour mix', 'oz'), (u'1', u'Chambord\xae raspberry liqueur', 'oz')]","Pour all ingredients over ice in a shaker, and shake three to four times. Pour into a collins glass and garnish with a lemon wedge."
9.0,76,Raspberry Kamikaze recipe,,http://www.drinksmixer.com/drink6297.html,"[(u'2', u'vodka', 'oz'), (u'2', u'triple sec', 'oz'), (u'2', u'raspberry liqueur', 'oz')]",Mix all ingredients in a glass. Add ice and serve.
,,Raspberry Lime Smasher recipe,,http://www.drinksmixer.com/drinkn1m2423.html,"[(u'1/2', u'Chambord\xae raspberry liqueur', 'oz'), (u'1/2', u'Absolut\xae Kurant vodka', 'oz'), (u'1/4', u""Rose's\xae lime juice"", 'oz')]",Lay Chambord on bottom of glass and float vodka on top of it. Drip the lime juice in the middle of the vodka and shoot.
10.0,2,Raspberry Limeade recipe,,http://www.drinksmixer.com/drink1t6s092.html,"[(u'2', u'raspberry', 'cups'), (u'3 1/2', u'water', 'cups'), (None, u'3/4 cupgranulated sugar', None), (None, u'1 cupfresh lime juice', None)]","In a blender or food processor purée 1 cup of the raspberries with 1 cup of the water and force the purée through a fine sieve set over a pitcher, pressing hard on the solids. Add the remaining 1 cup raspberries, the remaining 2 1/2 cups water, the sugar and the lime juice; stir the mixture until the sugar is dissolved.,
Divide the limeade among tall glasses filled with ice cubes and garnish each drink with some of the mint sprigs."
8.0,1,Raspberry Jello Spritzer recipe,,http://www.drinksmixer.com/drinkrq14911.html,"[(u'3/4', u'vodka', 'cup'), (u'1/4', u'Chambord\xae raspberry liqueur', 'cup'), (u'1', u'7-Up\xae soda', 'cup'), (u'2', u'water', 'cups'), (None, u'1 package sparkling berry jello', None)]","Mix Jello with 2 cups boiling water. Once disolved set in fridge to cool for 10 minutes. Add 7-up, vodka and Chambord (raspberry liquor) to and stir until blended. On a cookie sheet, line plastic 1 oz cups or dixie cups and pour into containers. Chill until firm and serve. "
8.7,3,Raspberry Iced Tea recipe,,http://www.drinksmixer.com/drinkrq14902.html,"[(u'1', u'gin', 'oz'), (u'1', u'white tequila', 'oz'), (u'1', u'vodka', 'oz'), (u'1', u'light rum', 'oz'), (u'1', u'raspberry liqueur', 'oz'), (u'1', u'triple sec', 'oz'), (u'1', u'sweet and sour mix', 'oz')]",Shake ingredients in a cocktail shaker with ice. Strain into glass. This is basically a long island iced tea with raspberry liqueur instead of cola. Quite good. 
,,Raspberry Hot Chocolate #1 recipe,,http://www.drinksmixer.com/drinkl12m431.html,"[(u'1', u'creme de cacao', 'oz'), (u'1', u'Chambord\xae raspberry liqueur', 'oz'), (u'6 - 8', u'hot chocolate', 'oz'), (u'1', u'vodka', 'splash')]",Pour into an Irish coffee mug and fill with hot chocolate.
,,Raspberry Felch recipe,,http://www.drinksmixer.com/drink1p49o00.html,"[(u'1 1/2', u'Stoli\xae Razberi vodka', 'oz'), (u'1 1/2', u""Bailey's\xae Irish cream"", 'oz'), (u'1 1/2', u'dark creme de cacao', 'oz')]",Combine ingredients into warmed old fashioned glass or shooter and drink through a straw. Garnish with cherries.
10.0,1,Raspberry Girl recipe,,http://www.drinksmixer.com/drinkp14q901.html,"[(u'1', u'Captain Morgan\xae Parrot Bay coconut rum', 'oz'), (u'1/2', u'Chambord\xae raspberry liqueur', 'oz')]",On the rocks. Combine liquor and fill with sprite or 7-up. Pour into shaker and then back into the glass. (do not shake) Enjoy! 
