rating,num_reviews,name,tags,url,ingredients,directions
,,English Rose Cocktail,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=232,"[(u'1 1/2', u'Gin', 'oz.'), (u'3/4', u'Apricot Brandy', 'oz.'), (u'3/4', u'Vermouth (Dry)', 'oz.'), (None, u'Splash of  Grenadine', None), (None, u'Splash of  Lemon Juice', None)]",Rub the rim of a chilled martini glass with a lemon and dip it into sugar. Pour all ingredients into a shaker with ice. Shake and strain into the martini.
,,Emerson,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=230,"[(u'2', u'Gin', 'oz.'), (u'1', u'Vermouth (Sweet)', 'oz.'), (u'1', u'Lime Juice', 'oz.'), (u'1/2', u'Maraschino Liqueur', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Emerald Isle Cocktail,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=229,"[(u'2', u'Gin', 'oz.'), (u'1', u'Cr\xe8me de Menthe (Green)', 'oz.'), (None, u'3 Dashes of  Bitters', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Emerald Forest,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2208,"[(u'2', u'Gin', 'oz.'), (u'1/2', u'Cr\xe8me de Menthe (Green)', 'oz.'), (u'1/2', u'Cr\xe8me de Menthe (White)', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Elvis Presley,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1312,"[(u'1', u'Vodka', 'oz.'), (u'1', u'Hazelnut Liqueur', 'oz.'), (u'1', u'Banana Liqueur', 'oz.'), (u'1/2', u'Irish Cream', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a shot glass.
,,Electric Screwdriver,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1260,"[(u'2', u'Citrus Rum', 'oz.'), (u'8', u'Orange Juice', 'oz.'), (u'1', u'Triple Sec', 'oz.')]","Pour orange juice and Bacardi Limón into a glass and stir.  Then add Triple Sec.  For best flavor, do not stir Triple Sec."
,,Elvis,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1311,"[(u'1/4', u'Hazelnut Liqueur', 'oz.'), (u'3/4', u'Banana Liqueur', 'oz.')]",Combine both ingredients into a shot glass.
,,Elephant Charger,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2680,"[(u'2', u'Orange Juice', 'oz.'), (u'2', u'Milk', 'oz.'), (u'2', u'Peach Puree', 'oz.'), (None, u'1  Banana', None), (None, u'1/4 Cup of  Raspberries', None), (None, u'2 Scoops of  Vanilla Ice Cream', None)]",Blend all ingredients. Pour into a collins glass.
,,Elephant Lips,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2288,"[(u'1 1/2', u'Rum (Dark)', 'oz.'), (u'1/2', u'Banana Liqueur', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Electric Lemonade,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=47,"[(u'1 1/2', u'Rum (Light)', 'oz.'), (u'1/2', u'Blue Curacao', 'oz.'), (None, u'  Sweet & Sour Mix', None), (None, u'Splash of  Lemon-Lime Soda', None)]",Pour the rum and blue curacao into a glass with ice. Fill it with sweet and sour and the splash of lemon-lime soda.
