rating,num_reviews,name,tags,directions,ingredients
,,Kamorita recipe,,Shake ingredients in a cocktail shaker with ice. Strain into a cocktail glass. ,"[(u'1 1/2', u'White Curacao liqueur', 'oz'), (u'1 1/2', u'Kahlua\xae coffee liqueur', 'oz'), (u'2', u'lime juice', 'tsp'), (u'1 1/2', u'pineapple juice', 'oz')]"
,,Kamora Sunrise Splash recipe,,Add ingredients to a tumbler with ice. Garnish with lime or grapefruit wedge if desired. ,"[(u'1 1/2', u'Kamora\xae coffee liqueur', 'oz'), (u'1', u'grapefruit juice', 'oz'), (u'4', u'orange juice', 'oz')]"
,,Kamora Vanilla Shake recipe,,Blend everything until smooth. Serve with vanilla wafer cookies. ,"[(u'1', u'white creme de cacao', 'tbsp'), (u'5', u'Kamora\xae coffee liqueur', 'tbsp'), (u'4', u'milk', 'oz'), (u'1/2', u'vanilla ice cream', 'cup')]"
2.0,1,Kamora Spanish Coffee recipe,,Add ingredients to mug of hot coffee; float puff of whipped cream on top. ,"[(u'3/4', u'brandy', 'oz'), (u'3/4', u'Kamora\xae coffee liqueur', 'oz'), (u'1', u'coffee', 'cup'), (u'1/2 - 1', u'whipped cream', 'oz')]"
,,Kamora Quencher recipe,,"Add Kamora to a highball glass with ice, fill with carbonated water and squeeze & drop in the lime wedge. ","[(u'1', u'Kamora\xae coffee liqueur', 'oz'), (u'5', u'club soda', 'oz'), (None, u'1  lime', None)]"
,,Kamora Satin Tango recipe,,Blend everything together with a few ice cubes. Garnish with a pineapple spear. ,"[(u'3', u'Kamora\xae coffee liqueur', 'oz'), (None, u'2 tspfresh lemon juice', None), (u'2', u'mango nectar', 'oz'), (u'2', u'pineapple juice', 'oz')]"
,,Kamora Mocha Mint recipe,,Shake everything with ice; strain into shot glasses. ,"[(u'1/2', u'white creme de cacao', 'oz'), (u'1/2', u'green creme de menthe', 'oz'), (u'1/2', u'Kamora\xae coffee liqueur', 'oz')]"
,,Kamora Rich Rewards recipe,,Blend ingredients together until smooth and serve with cookies. ,"[(u'1 1/2', u'Kamora\xae coffee liqueur', 'oz'), (u'5', u'chocolate milk', 'oz'), (u'2', u'chocolate', 'tsp'), (u'1/2', u'chocolate ice cream', 'cup')]"
,,Kamora Mexican Coffee recipe,,Add Kahlua and tequila to your hot cup of coffee. ,"[(u'1/2', u'white tequila', 'oz'), (u'1/2', u'Kahlua\xae coffee liqueur', 'oz'), (u'1', u'coffee', 'cup')]"
9.7,3,Kamora Hot Apple Cider recipe,,"Simmer cider, apple slices, Kahlua, cinnamon stick, and dried cherries in saucepan for 15 minutes. Stir in lemon juice, add butter if desired, and serve in mugs. ","[(u'1 1/2', u'Kamora\xae coffee liqueur', 'oz'), (u'16', u'apple cider', 'oz'), (u'1', u'lemon juice', 'tbsp'), (None, u'1/2 cupdried apple', None), (None, u'1  cinnamon', None), (u'1', u'butter', 'tsp')]"
